UserName,Handle,Timestamp,Text,Emojis,Comments,Likes,Retweets
- Bucin Wen junhui Moon Junhwi -,@ameliariz0214,2021-05-04T12:49:51.000Z,"Ihiyyyy ihiyyyyyy Junhao kek drakor drakor 

Manteppp editan nyaKutip Tweet
DD
@delicious_D8
 · 4 Mei
문줁휘, 서명오 주연
#준잇 #JUNHAO 감독 신작

그들만의 다채로운 운명 로맨스
가 찾아옵니다!
<컬러링> 5월 극장가, 넷플릭스 동시 대개봉",🎨,,,
mika bucin hoshi,@sh1ratorizawa1,2021-05-04T04:40:27.000Z,"Membalas 
@sh1ratorizawa1lalu lama kelamaan dia mulai bawa bawa agama dan bilang kalo kpopers beban ortu lah, kpopers nyembah idol nya lah, kpopers budak korea banyak lg pkkny.. 

dia mulai ngejelek""in tuhan lain dan ngerasa kl agama dia yg paling benar.. yaa aku tau mksdny tp ga hrus dgn menghina kan?",🐯,1,,1
mika bucin hoshi,@sh1ratorizawa1,2021-05-04T04:43:25.000Z,"dan yang bikin aku bener"" miris ya disini, dia dengan gada malu dan gada rasa bersalahny bilang gini didepan orang nonis.. aku muslim dan aku malu liat tingkahny. 

dia dengan entengny ngetik gitu dan gada rasa toleran sama sekali.. miris",🐯,1,,1
shayla bucin jae,@95WOONSHI,2021-05-04T07:54:04.000Z,"pada lg chaos grgr vote ni org mood bgt sempet""nya ganti ava",,1,,1
sel,@babbyoshi,2021-05-04T17:27:07.000Z,"Sunu bucin deobi.
Deobi bucin sunu.
Indahnya perbucinan ini xixi",🌻,1,,
"ᴺᵈᵃ
II bucin mick",@metasmickk,2021-05-04T10:39:13.000Z,"Cepet sembuh yaaa bapak ku tersayangg 
@Tawan_V
 เทย์ทาวาฬ",🌈 ⭐ 😭 💙,,,1
"bilaa
|| d–5",@pjsxnct,2021-05-04T15:21:32.000Z,"gini aja candu bgt jii, bucin bgt ya akuu",🌼 😭 😭,,,1
Bucin Nanamin,@snow_fog,2021-05-04T13:11:54.000Z,Skrg gw mengerti perasaannya Baku... Sesama desainer wakakakkaa,,,,1
shayla bucin jae,@95WOONSHI,2021-05-04T06:18:50.000Z,ih aku udah gabisa ngevote lg padahal msi ada segini syg bgt huaaaa,😭 💔,3,,
dhe– bucin jaehyun,@peachnniezz,2021-05-04T10:49:48.000Z,kece bgttt?,🍑 😤 😤 😤,,,1
іуᥲ❆⁵ | 26°C,@yeonjuniesp,2021-05-04T21:55:37.000Z,"Lagu tubatu yang vibenya kaya 20cm ada ga sih
 aku bucin lagu ini sksksk bside mereka enak semua",😭 😭,5,,4
Manusia Anomali,@manusiaanomali,2021-05-04T05:39:35.000Z,"Membalas 
@doongipich
 dan 
@collegemenfessBackground wa nya lucu, bagi dong kaa",,1,,1
🅐︎ • bucin nana-!,@doongipich,2021-05-04T06:45:09.000Z,"ini yaa, aku lupa cr nya dr twt siapaa huhuhu",,1,,3
kang bucin,@Galang_A6,2021-05-04T08:38:36.000Z,Lah terus,,1,,1
overthinqueen bucin tugas,@budaklenskep,2021-05-04T08:48:47.000Z,cakep bgt isi gopaynya,🦄,2,,2
